scenario,entity,entry_period,period,account,flow,currency,partner,share,analysis,audit_id,amount
REEL,M,2024,2024,100_Capital,F00,EUR,,,,S-M-001,10000
REEL,M,2024,2024,400_Resultat,F00,EUR,,,,S-M-002,5000
REEL,M,2024,2024,400_Resultat,F20,EUR,,,,S-M-003,500
REEL,M,2024,2024,400_Resultat,F20,EUR,,,,S-M-004,300
REEL,M,2024,2024,200_Immobilisations,F00,EUR,,,,S-M-005,12000
REEL,M,2024,2024,200_Immobilisations,F20,EUR,,,,S-M-006,500
REEL,M,2024,2024,300_Stocks,F00,EUR,,,,S-M-007,3000
REEL,A,2024,2024,100_Capital,F00,USD,,,,S-A-001,5000
REEL,A,2024,2024,400_Resultat,F00,USD,,,,S-A-002,2000
REEL,A,2024,2024,400_Resultat,F20,USD,,,,S-A-003,300
REEL,A,2024,2024,200_Immobilisations,F00,USD,,,,S-A-004,8000
REEL,A,2024,2024,200_Immobilisations,F20,USD,,,,S-A-005,400
REEL,B,2024,2024,100_Capital,F00,GBP,,,,S-B-001,4000
REEL,B,2024,2024,400_Resultat,F00,GBP,,,,S-B-002,1500
REEL,B,2024,2024,400_Resultat,F20,GBP,,,,S-B-003,200
REEL,B,2024,2024,200_Immobilisations,F00,GBP,,,,S-B-004,6000
REEL,B,2024,2024,200_Immobilisations,F20,GBP,,,,S-B-005,300
